Name,Address,City,State,Code,Website,Tags
Australian Brewing Corporation,229-255 Old Melbourne Road,Little River,?,3211,?,?
Carlton and United Breweries,77 Southbank Boulevard,Melbourne,?,,?,?
Coopers Brewery,461 South Road,Regency Park,?,,?,?
Foster's Australia Ltd.,?,?,?,,?,?
Gold Coast Brewery,?,Sanctuary Cove,?,,?,?
Lion Nathan Australia  Hunter Street,Level 15 | 20 Hunter Street,Sydney,?,,?,?
Little Creatures Brewery,40 Mews Road,Fremantle,?,6160,?,?
Malt Shovel Brewery,99 Pyrmont Bridge Road,Camperdown,?,,?,?
Matilda Bay Brewing,130 Stirling Highway,North Fremantle,?,,?,?
Scharer's Little Brewery,180 Old Hume Hwy,Picton,?,2571,?,?
South Australian Brewing,107 Port Road,Adelaide,?,,?,?
Swan Brewery,25 Baile Road,Canning Vale,?,,?,?
Tooheys,29 Nyrang Street,Sydney,?,,?,?
Tooth's,?,Sydney,?,,?,?
